Molecule,Name,Dipole,SMILES
CH2F2,"Methane, difluoro-",1.970,FCF
CHF3,"Methane, trifluoro-",1.645,FC(F)F
CF4,Carbon tetrafluoride,0.000,FC(F)(F)F
SiH4,Silane,0.000,[SiH4]
SiHF3,trifluorosilane,1.359,F[SiH](F)F
SiF4,Silicon tetrafluoride,0.000,F[Si](F)(F)F
CH2PH,Phosphaethene,0.869,C=PH
F3PO,Phosphoryl fluoride,1.760,O=P(F)(F)F
NH2SH,Thiohydroxylamine,2.005,NS
CH2CS,Thioketene,1.020,C=C=S
SO2F2,Sulfuryl fluoride,1.120,O=S(=O)(F)F
SF4,Sulfur tetrafluoride,0.632,FS(F)(F)F
SiH3Cl,chlorosilane,1.310,[SiH3]Cl
CH3Cl,Methyl chloride,1.870,CCl
CH2Cl2,Methylene chloride,1.620,ClCCl
CH2FCl,fluorochloromethane,1.820,FCCl
SiH2Cl2,dichlorosilane,1.130,Cl[SiH2]Cl
SiHCl3,Trichlorosilane,0.860,Cl[SiH](Cl)Cl
CHF2Cl,difluorochloromethane,1.420,FC(F)Cl
CHFCl2,fluorodichloromethane,1.290,FC(Cl)Cl
CHCl3,Chloroform,1.040,ClC(Cl)Cl
ClONO2,Chlorine nitrate,0.772,O=[N+]([O-])OCl
SO2Cl2,Sulfuryl chloride,1.810,O=S(=O)(Cl)Cl
Cl3PO,Phosphoryl chloride,2.540,O=P(Cl)(Cl)Cl
SiCl4,"Silane, tetrachloro-",0.000,Cl[Si](Cl)(Cl)Cl
CCl4,Carbon tetrachloride,0.000,ClC(Cl)(Cl)Cl
CFCl3,Trichloromonofluoromethane,0.460,FC(Cl)(Cl)Cl
CF2Cl2,difluorodichloromethane,0.510,FC(F)(Cl)Cl
CF3Cl,"Methane, chlorotrifluoro-",0.500,FC(F)(F)Cl
GeH4,Germane,0.000,[GeH4]
SeF4,Selenium tetrafluoride,1.779,F[Se](F)(F)F
SiH3Br,bromosilane,1.319,[Si]Br
CH3Br,methyl bromide,1.810,CBr
CH2Br2,dibromomethane,1.430,BrCBr
CH2BrF,"Methane, bromofluoro-",1.739,FCBr
CHFClBr,fluorochlorobromomethane,1.500,FC(Cl)Br
CHBr3,bromoform,0.990,BrC(Br)Br
CHBrF2,"Methane, bromodifluoro-",1.500,FC(F)Br
CBr2F2,"Methane, dibromodifluoro-",0.660,FC(F)(Br)Br
CF3Br,Bromotrifluoromethane,0.639,FC(F)(F)Br
CBr4,Carbon tetrabromide,0.000,BrC(Br)(Br)Br
CH3I,methyl iodide,1.620,CI
CH2FI,fluoroiodomethane,1.599,FCI
CF3I,trifluoroiodomethane,1.048,FC(F)(F)I
C2H4,Ethylene,0.000,C=C
C4H2,Diacetylene,0.000,C#CC#C
BH2NH2,Boranamine,1.844,BN
N2H4,Hydrazine,1.750,NN
CH3NC,methyl isocyanide,3.850,[C-]#[N+]C
CH3CN,Acetonitrile,3.919,CC#N
H2CCNH,Ethenimine,1.438,C=C=N
CH3OH,Methyl alcohol,1.672,CO
BH3CO,Borane carbonyl,1.698,B(CO)H3
CH3NO,nitrosomethane,2.320,CN=O
CHONH2,formamide,3.730,NC=O
CH2NOH,formaldoxime,0.440,C=NO
C2H2CO,cyclopropenone,4.390,O=c1cc1
HCCCHO,2-propynal,2.780,C#CC=O
C2H2O2,Ethanedial,3.400,O=CC=O
HOONO2,peroxy nitric acid,1.987,OON(=O)=O
N2O4,Dinitrogen tetroxide,0.000,O=[N+]([O-])[N+](=O)[O-]
CH2CHF,"Ethene, fluoro-",1.430,C=CF
CH2CF2,"Ethene, 1,1-difluoro-",1.389,C=C(F)F
C2H2F2,"Ethene, 1,2-difluoro-, (Z)-",2.420,F/C=C\F
C2HF3,Trifluoroethylene,1.400,FC=C(F)F
CF3CN,"Acetonitrile, trifluoro-",1.330,N#CC(F)(F)F
B2F4,Diboron tetrafluoride,0.000,FB(F)B(F)F
C2F4,Tetrafluoroethylene,0.000,FC(F)=C(F)F
PF5,Phosphorus pentafluoride,0.000,FP(F)(F)(F)F
CH3SH,Methanethiol,1.520,CS
CHSNH2,thioformamide,4.010,NC=S
